FIPS,Donald Trump,Hillary Clinton,Other,totalvotes,pct_dem,pct_gop,pct_oth
17045,5645.0,1793.0,435.0,7873.0,0.22774037850882764,0.7170074939667217,0.055252127524450655
17047,2778.0,434.0,135.0,3347.0,0.12966835972512697,0.829997012249776,0.0403346280250971
17049,13635.0,3083.0,891.0,17609.0,0.1750809245272304,0.7743199500255551,0.05059912544721449
17051,7372.0,1819.0,394.0,9585.0,0.1897756911841419,0.7691184141888368,0.04110589462702139
17053,4480.0,1414.0,502.0,6396.0,0.2210756722951845,0.7004377736085053,0.0784865540963102
17055,13116.0,4727.0,868.0,18711.0,0.2526321415210304,0.7009780343113676,0.04638982416760194
17057,8492.0,6133.0,1172.0,15797.0,0.38823827308982717,0.5375704247641957,0.07419130214597708
17059,1942.0,657.0,108.0,2707.0,0.2427041004802364,0.717399335057259,0.03989656446250462
17061,4145.0,1205.0,235.0,5585.0,0.21575649059982094,0.7421665174574754,0.04207699194270367
17063,13454.0,8065.0,1718.0,23237.0,0.34707578430950636,0.5789904032362181,0.07393381245427551
17065,3206.0,802.0,158.0,4166.0,0.19251080172827653,0.7695631301008161,0.037926068170907344
17067,6430.0,2139.0,552.0,9121.0,0.23451375945619998,0.7049665606841355,0.06051967985966451
17069,1653.0,420.0,75.0,2148.0,0.19553072625698323,0.7695530726256983,0.034916201117318434
17071,2155.0,1155.0,208.0,3518.0,0.32831154064809553,0.6125639567936327,0.059124502558271744
17073,13985.0,8871.0,1787.0,24643.0,0.3599805218520472,0.5675039564988029,0.07251552164914986
17075,9750.0,2504.0,810.0,13064.0,0.19167176974892836,0.7463257807715861,0.06200244947948561
17077,10843.0,11634.0,2140.0,24617.0,0.4726002356095381,0.44046796928951537,0.08693179510094651
17079,3975.0,924.0,237.0,5136.0,0.17990654205607476,0.7739485981308412,0.04614485981308411
17081,11695.0,4425.0,879.0,16999.0,0.2603094299664686,0.6879816459791752,0.05170892405435614
17083,7748.0,2679.0,564.0,10991.0,0.2437448821763261,0.7049404057865526,0.051314712037121284
17085,6121.0,4462.0,751.0,11334.0,0.393682724545615,0.5400564672666314,0.06626080818775366
17087,4649.0,1142.0,298.0,6089.0,0.18755132205616687,0.7635079651831171,0.04894071276071604
17089,82734.0,103665.0,12915.0,199314.0,0.5201089737800656,0.4150937716367139,0.06479725458322044
17091,25129.0,18971.0,3205.0,47305.0,0.4010358313074728,0.531212345418032,0.06775182327449529
17093,24961.0,24884.0,3602.0,53447.0,0.4655827268134788,0.4670234063651842,0.06739386682133702
17095,10737.0,10083.0,1423.0,22243.0,0.4533111540709437,0.4827136627253518,0.06397518320370453
17097,109767.0,171095.0,22658.0,303520.0,0.5637025566684238,0.36164667896678965,0.0746507643647865
17099,26689.0,19543.0,3511.0,49743.0,0.39287940011659933,0.5365378043141749,0.07058279556922582
17101,4521.0,1290.0,283.0,6094.0,0.21168362323596981,0.7418772563176895,0.046439120446340666
17103,8612.0,5528.0,1349.0,15489.0,0.3568984440570728,0.5560074891858738,0.08709406675705339
17105,10208.0,4023.0,1038.0,15269.0,0.2634750147357391,0.668544108978977,0.0679808762852839
17107,8181.0,3313.0,907.0,12401.0,0.2671558745262479,0.6597048625110878,0.0731392629626643
17109,6795.0,5288.0,1009.0,13092.0,0.4039107852123434,0.519019248395967,0.07706996639168959
17111,71612.0,60803.0,9335.0,141750.0,0.4289453262786596,0.5051992945326279,0.06585537918871252
17113,37237.0,36196.0,6402.0,79835.0,0.4533851067827394,0.46642450053234796,0.08019039268491263
17115,26866.0,18343.0,2851.0,48060.0,0.38166874739908446,0.5590095713691219,0.05932168123179359
17117,14322.0,6689.0,1349.0,22360.0,0.29915026833631486,0.6405187835420394,0.06033094812164579
17119,70490.0,50587.0,9102.0,130179.0,0.3885957028399358,0.5414851857826531,0.06991911137741111
17121,11859.0,4369.0,846.0,17074.0,0.25588614267307014,0.6945648354222795,0.049549021904650346
17123,3785.0,1789.0,410.0,5984.0,0.2989639037433155,0.6325200534759359,0.06851604278074866
17125,4058.0,2014.0,414.0,6486.0,0.3105149552883133,0.6256552574776442,0.06382978723404255
17127,4846.0,1558.0,279.0,6683.0,0.2331288343558282,0.7251234475534939,0.041747718090677836
